TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
14.09,2024-11-04 08:08:08.000000000,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08.000000000,5
376.24,2024-11-04 08:09:35.000000000,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35.000000000,0
126.29,2024-11-04 08:07:04.000000000,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,2024-11-04 08:07:04.000000000,2
184.5,2024-11-04 08:09:06.000000000,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06.000000000,5
13.45,2024-11-04 08:06:39.000000000,Credit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,2024-11-04 08:06:39.000000000,4
92.15,2024-11-04 08:06:36.000000000,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,2024-11-04 08:06:36.000000000,2
7.08,2024-11-04 08:10:09.000000000,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09.000000000,1
171.42,2024-11-04 08:10:55.000000000,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55.000000000,0
106.23,2024-11-04 08:11:14.000000000,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14.000000000,3
815.96,2024-11-04 08:06:32.000000000,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.88,2024-11-04 08:06:32.000000000,2
17.78,2024-11-04 08:06:45.000000000,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,2024-11-04 08:06:45.000000000,4
190.02,2024-11-04 08:07:12.000000000,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12.000000000,2
494.52,2024-11-04 08:08:38.000000000,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,2024-11-04 08:08:38.000000000,2
781.76,2024-11-04 08:07:06.000000000,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,2024-11-04 08:07:06.000000000,2
166.99,2024-11-04 08:10:09.000000000,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,2024-11-04 08:10:09.000000000,2
465.45,2024-11-04 08:12:19.000000000,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19.000000000,3
555.8,2024-11-04 08:07:35.000000000,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,2024-11-04 08:07:35.000000000,4
492.93,2024-11-04 08:11:51.000000000,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51.000000000,3
18.68,2024-11-04 08:12:01.000000000,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,2024-11-04 08:12:01.000000000,4
71.48,2024-11-04 08:09:20.000000000,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,2024-11-04 08:09:20.000000000,3
59.32,2024-11-04 08:09:24.000000000,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24.000000000,0
